	SEQ.1	SEQ.2	SEQ.3	SEQ.4	SEQ.5	SEQ.6	SEQ.7	SEQ.8	SEQ.9	SEQ.10	SEQ.11	SEQ.12	SEQ.13	SEQ.14	SEQ.15	SEQ.16	SEQ.17	SEQ.18	SEQ.19	SEQ.20	SEQ.21	SEQ.22	SEQ.23	SEQ.24	SEQ.25	SEQ.26	SEQ.27	SEQ.28	SEQ.29	SEQ.30	SEQ.31	SEQ.32	SEQ.33	SEQ.34	SEQ.35	SEQ.36	SEQ.37	SEQ.38	SEQ.39	SEQ.40	SEQ.41	SEQ.42	SEQ.43	SEQ.44	SEQ.45	SEQ.46	SEQ.47	SEQ.48	SEQ.49	SEQ.50	SEQ.51	SEQ.52	SEQ.53	SEQ.54	SEQ.55	SEQ.56	SEQ.57	SEQ.58	SEQ.59	SEQ.60	SEQ.61	SEQ.62	SEQ.63	SEQ.64	SEQ.65	SEQ.66	SEQ.67	SEQ.68	SEQ.69	SEQ.70
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	9582	22836	4863	2515	1615	4883	4038	10560	8212	9042	9360	0	27043	4269	13016	31268	29062	12393	12642	8752	9882	3528	47898	37219	14119	4519	23193	36954	25884	13445	30	2043	7442	15689	177	0	1575	2650	57674	7274	39	74	334	1443	0	34240	255	2428	25017	6249	2538	1577	15468	38	5882	31932	41232	34134	15048	16266	14267	119	44704	22090	1199	43	11415	2423	9306	5862
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Other	13	8	11	27	2	8	1	8	6	4	26	0	42	28	57	74	137	30	1	32	5	1	35	4	24	2	24	52	71	48	0	0	8	50	9	0	0	3	117	0	0	3	2	3	0	16	2	0	95	11	1	11	23	6	44	87	10	84	105	21	38	0	9	47	2	1	6	4	5	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A;f__Turicibacteraceae	586	955	0	0	1392	1	0	495	872	8	3255	75	515	2207	693	5	49	78	21	124	324	51	0	628	447	0	1	81	9	32	0	0	20	0	9404	0	3930	0	2318	0	8	0	253	3424	492	0	0	98	0	0	239	146	0	0	0	40	0	8765	906	0	340	0	2886	11	0	11508	177	0	0	1
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	5	13	1	0	0	2	0	0	15	0	1470	201839	19	1	4970	209	16003	0	0	0	0	66	1	2	4	0	1722	2	1	0	5001	4948	2539	480	283	26118	50	31105	37071	0	28	2	1	2704	2651	22839	16	2345	68	0	29	13	42525	3	3	2537	55	1276	4587	295	59	1	0	1935	0	1321	23	0	4	1
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	1	0	5	4	53	8	5	61	5	8	383	1	4	3	19910	494	477	5	0	188	0	0	508	19	60	325	114	7	672	34	2	0	1979	11	1807	0	1	552231	37	2	14	0	276	75	1	57	2	96	252	0	91	27	56	113441	285	45	6	21	81	68179	5	53	1	557	0	30	20	0	1	17992
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	22	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	29	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Other	0	36	112	3	0	8	0	53	8	0	22	2688	7	2	273	5	67	0	0	1	0	1	9	7	2	0	105	3	156	2	33	29	585	223	1003	1756	16	2192	816	0	555	4550	23	25	111	208	27	39	14	21	3	213	118	819	23	51	1	18	44	648	33	43	1	43	0	139	10	0	9	543
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0	61	26534	163	6	2445	2	7342	1639	44	672	7	211	166	199180	276	3674	1	0	11	1	2	982	190	26	61	6507	197	7191	34	4259	184	68528	90632	584556	595916	696	2446	44005	141	326148	588049	276	663	45926	774	652	457	656	15374	5	4300	529	121484	1354	44	328	550	772	31185	14452	24587	35	1774	0	81631	63	12	2468	156110
